model_name,seed,split_name,calibrated,temperature,split,accuracy,macro_f1,f1_entailment,f1_neutral,f1_contradiction,nll,brier,ece,mce,confusion_matrix,binary_f1
compact,42,hans,True,1.1761538982391357,hans,0.4981,,,,,0.9047328033884215,0.6345564733376209,0.22383501972556116,0.447732400070018,"[[4466, 10534], [4523, 10477]]",0.5818777595734637
compact,73,snli_test,False,,snli_test,0.7572271986970684,0.7558384950509228,0.8070074669730041,0.6982691408077343,0.76223887737203,0.6218103755127156,0.34719954556736055,0.05993861736917824,0.09773866132692288,"[[2810, 385, 173], [509, 2239, 471], [277, 570, 2390]]",
compact,73,snli_test,True,1.1872050762176514,snli_test,0.7572271986970684,0.7558384950509228,0.8070074669730041,0.6982691408077343,0.76223887737203,0.6016524424260852,0.34207882663222006,0.028966381769712272,0.05343709361964255,"[[2810, 385, 173], [509, 2239, 471], [277, 570, 2390]]",
compact,73,mnli_matched,False,,mnli_matched,0.44207845134997453,0.4399622338528091,0.43624382207578255,0.45784338253690265,0.425799496945742,1.4190597322239165,0.7715615811309348,0.2679788461675221,0.4155474202973502,"[[1324, 1650, 505], [630, 1830, 663], [637, 1391, 1185]]",
compact,73,mnli_matched,True,1.1872050762176514,mnli_matched,0.44207845134997453,0.4399622338528091,0.43624382207578255,0.45784338253690265,0.425799496945742,1.3058526451083512,0.7412335940741832,0.2324267680798024,0.40814114594068684,"[[1324, 1650, 505], [630, 1830, 663], [637, 1391, 1185]]",
compact,73,mnli_mismatched,False,,mnli_mismatched,0.4552481692432872,0.45429824696865756,0.4284015627654153,0.4643864165747211,0.4701067615658363,1.3718301406147393,0.7513774186828197,0.25091555669139903,0.4051108508748193,"[[1261, 1733, 469], [645, 1894, 590], [518, 1401, 1321]]",
compact,73,mnli_mismatched,True,1.1872050762176514,mnli_mismatched,0.4552481692432872,0.45429824696865756,0.4284015627654153,0.4643864165747211,0.4701067615658363,1.26729103555621,0.7228653987356837,0.21521600437683241,0.37696755519366065,"[[1261, 1733, 469], [645, 1894, 590], [518, 1401, 1321]]",
compact,73,hans,False,,hans,0.4897666666666667,,,,,1.1714445396351822,0.7230557768868898,0.2966503131230672,0.49551344683771276,"[[6870, 8130], [7177, 7823]]",0.5054760443252674
compact,73,hans,True,1.1872050762176514,hans,0.4889,,,,,1.0574970680294076,0.68914038436606,0.26884940783778827,0.4910956021570006,"[[7096, 7904], [7429, 7571]]",0.4968662838392125
bert,17,snli_test,False,,snli_test,0.9066571661237784,0.906404061528708,0.9142343960484958,0.8710530409083839,0.9339247476292444,0.3015664704962481,0.14910676922572727,0.045563767048308834,0.1970610886477353,"[[3054, 263, 51], [222, 2800, 197], [37, 147, 3053]]",
bert,17,snli_test,True,1.2252329587936401,snli_test,0.9066571661237784,0.906404061528708,0.9142343960484958,0.8710530409083839,0.9339247476292444,0.2776467324278419,0.1449190841813808,0.026829575746644747,0.12428517295764041,"[[3054, 263, 51], [222, 2800, 197], [37, 147, 3053]]",
bert,17,mnli_matched,False,,mnli_matched,0.7491594498217015,0.7461827460356693,0.7943886673084858,0.683046683046683,0.7611128877518388,0.7628446916600814,0.38378774691032147,0.12712734624918057,0.21501989313442937,"[[2888, 425, 166], [543, 2085, 495], [361, 472, 2380]]",
bert,17,mnli_matched,True,1.2252329587936401,mnli_matched,0.7491594498217015,0.7461827460356693,0.7943886673084858,0.683046683046683,0.7611128877518388,0.6893651258313855,0.3701345056851786,0.09560446388491912,0.16700046592288542,"[[2888, 425, 166], [543, 2085, 495], [361, 472, 2380]]",
bert,17,mnli_mismatched,False,,mnli_mismatched,0.7437957689178194,0.7395121398385349,0.7845684740819303,0.6681400884053044,0.76582785702837,0.7920646498794691,0.39624623638349393,0.13761332765694462,0.23083976193478228,"[[2959, 351, 153], [707, 1965, 457], [414, 437, 2389]]",
bert,17,mnli_mismatched,True,1.2252329587936401,mnli_mismatched,0.7437957689178194,0.7395121398385349,0.7845684740819303,0.6681400884053044,0.76582785702837,0.711159110884249,0.38116732831096195,0.10645362930001043,0.17290903640255706,"[[2959, 351, 153], [707, 1965, 457], [414, 437, 2389]]",
bert,17,hans,False,,hans,0.6096666666666667,,,,,1.3039355732104445,0.6938722225619101,0.3389708468139172,0.5511572360992432,"[[3408, 11592], [118, 14882]]",0.7176544341032937
bert,17,hans,True,1.2252329587936401,hans,0.612,,,,,1.0755253047074282,0.6509335631488596,0.3109987007558346,0.5257892364792536,"[[3486, 11514], [126, 14874]]",0.7187590605972746
bert,42,snli_test,False,,snli_test,0.9022801302931596,0.9020274050020626,0.9116376098942035,0.8688881968234194,0.9255564082885649,0.31303480732685973,0.15555007817839078,0.043602007850761945,0.1938384515898568,"[[3059, 252, 57], [223, 2790, 206], [61, 161, 3015]]",
bert,42,snli_test,True,1.2136523723602295,snli_test,0.9022801302931596,0.9020274050020626,0.9116376098942035,0.8688881968234194,0.9255564082885649,0.29095916405145533,0.15180381642238003,0.024762136534050568,0.2523042559623718,"[[3059, 252, 57], [223, 2790, 206], [61, 161, 3015]]",
bert,42,mnli_matched,False,,mnli_matched,0.7360163015792155,0.7341199485006503,0.7695089720406176,0.68600129617628,0.7468495772850534,0.7401957388499043,0.3917850830015257,0.11296471159979207,0.21266675608180396,"[[2766, 471, 242], [533, 2117, 473], [411, 461, 2341]]",
bert,42,mnli_matched,True,1.2136523723602295,mnli_matched,0.7360163015792155,0.7341199485006503,0.7695089720406176,0.68600129617628,0.7468495772850534,0.6852582175757348,0.379605410568539,0.07954103927860076,0.14133991727077677,"[[2766, 471, 242], [533, 2117, 473], [411, 461, 2341]]",
bert,42,mnli_mismatched,False,,mnli_mismatched,0.7293531326281529,0.7257999880576578,0.7670231487748748,0.6583641871423763,0.7520126282557221,0.7462007161088122,0.40014661915479705,0.12669447004382836,0.2147677319390433,"[[2833, 405, 225], [685, 1956, 488], [406, 452, 2382]]",
bert,42,mnli_mismatched,True,1.2136523723602295,mnli_mismatched,0.7293531326281529,0.7257999880576578,0.7670231487748748,0.6583641871423763,0.7520126282557221,0.6878995562874576,0.38594203629949164,0.0935732534290136,0.15785174899631071,"[[2833, 405, 225], [685, 1956, 488], [406, 452, 2382]]",
bert,42,hans,False,,hans,0.5672,,,,,1.2734377322753727,0.7375908169745149,0.3597957243661085,0.5440513233506399,"[[2245, 12755], [229, 14771]]",0.6946809010958002
bert,42,hans,True,1.2136523723602295,hans,0.5687333333333333,,,,,1.0598157257209313,0.6839613110840103,0.32520584491292637,0.4817885836694583,"[[2304, 12696], [242, 14758]]",0.6952466198709191
bert,73,snli_test,False,,snli_test,0.9066571661237784,0.906392089522844,0.9132188200149365,0.8717469222378058,0.9342105263157895,0.2989838150874154,0.14801812381218704,0.041822399200829134,0.3660180866718292,"[[3057, 258, 53], [229, 2797, 193], [41, 143, 3053]]",
bert,73,snli_test,True,1.2174921035766602,snli_test,0.9066571661237784,0.906392089522844,0.9132188200149365,0.8717469222378058,0.9342105263157895,0.27722803699378595,0.1445053219559903,0.023663293764431985,0.09742771382975335,"[[3057, 258, 53], [229, 2797, 193], [41, 143, 3053]]",
bert,73,mnli_matched,False,,mnli_matched,0.7475292919001528,0.7454963206079777,0.7853185595567868,0.6889890534449453,0.7621813488222007,0.7570212270574392,0.3830435489187777,0.12684504874980512,0.18134597420845078,"[[2835, 484, 160], [520, 2140, 463], [386, 465, 2362]]",
bert,73,mnli_matched,True,1.2174921035766602,mnli_matched,0.7475292919001528,0.7454963206079777,0.7853185595567868,0.6889890534449453,0.7621813488222007,0.6879817579642094,0.3701191212945606,0.09503641756468748,0.13752866376888662,"[[2835, 484, 160], [520, 2140, 463], [386, 465, 2362]]",
bert,73,mnli_mismatched,False,,mnli_mismatched,0.7526444263628966,0.7497443203706572,0.7910871033085752,0.6881685041961494,0.7699773536072468,0.7642575438127178,0.3854419666103411,0.12498862385155707,0.22037377756131105,"[[2929, 390, 144], [620, 2091, 418], [393, 467, 2380]]",
bert,73,mnli_mismatched,True,1.2174921035766602,mnli_mismatched,0.7526444263628966,0.7497443203706572,0.7910871033085752,0.6881685041961494,0.7699773536072468,0.6919708804940135,0.3722616804566468,0.09434472014134837,0.1917331171373029,"[[2929, 390, 144], [620, 2091, 418], [393, 467, 2380]]",
bert,73,hans,False,,hans,0.5846666666666667,,,,,1.3408482045567383,0.7361133087652141,0.3640756927569707,0.5935057653105786,"[[2646, 12354], [106, 14894]]",0.7050747964400682
bert,73,hans,True,1.2174921035766602,hans,0.5862333333333334,,,,,1.1115027022065915,0.6892530772059877,0.33572475968798005,0.5700556752597291,"[[2704, 12296], [117, 14883]]",0.7057066312620024
