model_name,split_name,calibrated,score_name,coverage_target,accuracy__mean,accuracy__std,macro_f1__mean,macro_f1__std
compact,hans,True,entropy,0.8,0.49322222222222223,0.004622997564511756,0.4836891841024809,0.013833603470616192
compact,hans,True,entropy,0.9,0.493641975308642,0.004733259915580461,0.48540069152343096,0.010952640721222172
compact,hans,True,entropy,0.95,0.49374269005847954,0.0042781604958048326,0.48615311965190017,0.009940029719812914
compact,hans,True,margin,0.7,0.4923492063492063,0.00520015116938241,0.48204016946195066,0.015227186179856926
compact,hans,True,margin,0.8,0.49322222222222223,0.004622997564511756,0.4836891841024809,0.013833603470616192
compact,hans,True,margin,0.9,0.493641975308642,0.004733259915580461,0.48540069152343096,0.010952640721222172
compact,hans,True,margin,0.95,0.49374269005847954,0.0042781604958048326,0.48615311965190017,0.009940029719812914
compact,hans,True,max_softmax,0.7,0.4923492063492063,0.00520015116938241,0.48204016946195066,0.015227186179856926
compact,hans,True,max_softmax,0.8,0.49322222222222223,0.004622997564511756,0.4836891841024809,0.013833603470616192
compact,hans,True,max_softmax,0.9,0.493641975308642,0.004733259915580461,0.48540069152343096,0.010952640721222172
compact,hans,True,max_softmax,0.95,0.49374269005847954,0.0042781604958048326,0.48615311965190017,0.009940029719812914
compact,mnli_matched,False,entropy,0.7,0.4610682578955028,0.019253029479439583,0.4566247584265915,0.02362070241094633
compact,mnli_matched,False,entropy,0.8,0.4544914246901002,0.016564779620658464,0.45038644565525693,0.020024463677422787
compact,mnli_matched,False,entropy,0.9,0.44679646819107993,0.015788319211704656,0.44303380140953136,0.01890493900435885
compact,mnli_matched,False,entropy,0.95,0.4436818588025022,0.01417673819814039,0.4403750337618612,0.016803486629886778
compact,mnli_matched,False,margin,0.7,0.46223257167806725,0.016890076060432566,0.4583134811758314,0.02060252779919522
compact,mnli_matched,False,margin,0.8,0.4567838342672779,0.01449418216807616,0.4531963648499131,0.017612206389917003
compact,mnli_matched,False,margin,0.9,0.4490604482680552,0.014183794528120519,0.4456917196839938,0.01691336536985221
compact,mnli_matched,False,margin,0.95,0.4447184986595174,0.012759591645073632,0.441615162323092,0.01526114422403131
compact,mnli_matched,False,max_softmax,0.7,0.4629117547178965,0.017497624180048677,0.45872238508022695,0.02156093998526012
compact,mnli_matched,False,max_softmax,0.8,0.456359313975208,0.015980694110755842,0.45249019631935755,0.019225269557879097
compact,mnli_matched,False,max_softmax,0.9,0.44826805524111385,0.014461588094095068,0.44476678676474896,0.017348908631127657
compact,mnli_matched,False,max_softmax,0.95,0.4438248436103664,0.013650229113411166,0.44048556770750363,0.016349468209335024
compact,mnli_matched,True,entropy,0.7,0.4603890748556736,0.019060823306964774,0.4559059562011088,0.02340518540912551
compact,mnli_matched,True,entropy,0.8,0.45495839701137714,0.016571142939781947,0.45083714523935314,0.020116350962029985
compact,mnli_matched,True,entropy,0.9,0.44679646819107993,0.01574402413467395,0.4430034088492852,0.018915073456919028
compact,mnli_matched,True,entropy,0.95,0.4436461126005362,0.014277240703157454,0.4403501344285375,0.016920276388618493
compact,mnli_matched,True,margin,0.7,0.46218405860379375,0.017061228156150608,0.45827419917531503,0.02078139400650085
compact,mnli_matched,True,margin,0.8,0.45686873832569197,0.014399875987253652,0.4532649566962097,0.017482215280621376
compact,mnli_matched,True,margin,0.9,0.4490604482680552,0.014120866800741538,0.44570287519871465,0.01684334124199772
compact,mnli_matched,True,margin,0.95,0.4446827524575514,0.01271505016038063,0.44158504114825514,0.015223950460514921
compact,mnli_matched,True,max_softmax,0.7,0.46363945083199926,0.016640125912749458,0.4594203660877836,0.02072863041955116
compact,mnli_matched,True,max_softmax,0.8,0.45584988962472406,0.01592732021059613,0.4518499914324156,0.019331444897018716
compact,mnli_matched,True,max_softmax,0.9,0.4481171232359822,0.01509640747757411,0.4445912126412493,0.018014935511258143
compact,mnli_matched,True,max_softmax,0.95,0.4439678284182305,0.013827959787279397,0.4406091683930609,0.016541101315462683
compact,mnli_mismatched,False,entropy,0.7,0.4703375466124267,0.018177724584704222,0.4651261401199913,0.025403750805055605
compact,mnli_mismatched,False,entropy,0.8,0.461564539367743,0.018770577092184264,0.4572539792005332,0.02518686188718403
compact,mnli_mismatched,False,entropy,0.9,0.4545523034617848,0.018255576422986124,0.4511825347608684,0.023445209039123224
compact,mnli_mismatched,False,entropy,0.95,0.4510223744781072,0.017064433225711412,0.4480317125350128,0.02157647930994473
compact,mnli_mismatched,False,margin,0.7,0.47053126059373335,0.019876166040705905,0.46596007121655814,0.025766240510479068
compact,mnli_mismatched,False,margin,0.8,0.4641495041952708,0.0188576255269657,0.46030696244337116,0.024164771024468835
compact,mnli_mismatched,False,margin,0.9,0.45530568425810825,0.01644515697001001,0.45214380371365254,0.020801953895471275
compact,mnli_mismatched,False,margin,0.95,0.4512364843164543,0.01678783618850667,0.4484437390167731,0.02103751500331455
compact,mnli_mismatched,False,max_softmax,0.7,0.471693544481573,0.022105526070664863,0.46711706764908656,0.028538446177953355
compact,mnli_mismatched,False,max_softmax,0.8,0.4634291041613696,0.01919878705969553,0.45948081217177145,0.02484393289804159
compact,mnli_mismatched,False,max_softmax,0.9,0.45530568425810825,0.016148159836692273,0.45194633389723426,0.021124716738269548
compact,mnli_mismatched,False,max_softmax,0.95,0.4515219641009171,0.016476142759096153,0.4485778980485435,0.020921153824435185
compact,mnli_mismatched,True,entropy,0.7,0.4711608310329798,0.017249860223676004,0.4659556839319594,0.024433970997819344
compact,mnli_mismatched,True,entropy,0.8,0.4617764217306551,0.018753779637934863,0.45753123959532965,0.02509238174128051
compact,mnli_mismatched,True,entropy,0.9,0.4546653105812333,0.01825557642298616,0.4512911104772767,0.023452277782713016
compact,mnli_mismatched,True,entropy,0.95,0.4509153195589337,0.017064433225711426,0.44793085534682303,0.021548784095500807
compact,mnli_mismatched,True,margin,0.7,0.4704828320984067,0.01983896230671254,0.4659360851896575,0.025706646258808377
compact,mnli_mismatched,True,margin,0.8,0.4643190100856005,0.0184510003570283,0.4604456483498229,0.02380551483105825
compact,mnli_mismatched,True,margin,0.9,0.4551926771386597,0.016442050446823887,0.45204847259203595,0.020809331394675137
compact,mnli_mismatched,True,margin,0.95,0.45120079934339646,0.016849619014364235,0.4484158472303073,0.021093773621170903
compact,mnli_mismatched,True,max_softmax,0.7,0.4716451159862463,0.02193778766211607,0.46695801129756576,0.028256478744847307
compact,mnli_mismatched,True,max_softmax,0.8,0.4634714806339521,0.019230749546407324,0.45945916798236636,0.025026052248274554
compact,mnli_mismatched,True,max_softmax,0.9,0.4557577127359023,0.01654425772538794,0.4523325648824211,0.021489368113726405
compact,mnli_mismatched,True,max_softmax,0.95,0.4515219641009171,0.016565977663555043,0.4485493760118782,0.021049545142256293
compact,snli_test,False,entropy,0.7,0.8408220638844458,0.009210845095420661,0.8381219596004496,0.008468036534991306
compact,snli_test,False,entropy,0.8,0.8129770992366412,0.00903576636364616,0.8111073855353327,0.008779750077771794
compact,snli_test,False,entropy,0.9,0.7837970293297142,0.008850726070966979,0.7821469084649398,0.00859976582113176
compact,snli_test,False,entropy,0.95,0.769277474195507,0.008044092739337072,0.7677269171321796,0.007939136535757032
compact,snli_test,False,margin,0.7,0.8439241917502787,0.006998444198430509,0.8405875759190256,0.006488006969330582
compact,snli_test,False,margin,0.8,0.8137404580152672,0.009057237521912237,0.8109194693592386,0.008917937709421382
compact,snli_test,False,margin,0.9,0.7842117168061525,0.009144052943088538,0.7820423792460405,0.008893989062430531
compact,snli_test,False,margin,0.95,0.7683131540412158,0.007230879778818309,0.7664620243108115,0.0070542391477255465
compact,snli_test,False,max_softmax,0.7,0.8434394842712423,0.006977262723292802,0.8401733535596522,0.006485845850259342
compact,snli_test,False,max_softmax,0.8,0.8145038167938932,0.008535558838534092,0.8118693067048603,0.008450509956341097
compact,snli_test,False,max_softmax,0.9,0.7853049837894895,0.00938519952364743,0.7833546169304538,0.009114377087206336
compact,snli_test,False,max_softmax,0.95,0.7699560698596378,0.00846662220728097,0.7683124696399674,0.008321762702734933
compact,snli_test,True,entropy,0.7,0.8382531142455528,0.008725138536204779,0.8359844173025895,0.00778632808143767
compact,snli_test,True,entropy,0.8,0.8111535199321459,0.009122530727564833,0.8094395854053138,0.008751471847765601
compact,snli_test,True,entropy,0.9,0.7834200407147703,0.008592363679358771,0.781806949198473,0.00836370797627691
compact,snli_test,True,entropy,0.95,0.7691346119504269,0.00810522938714798,0.7675868390878576,0.007987147188511887
compact,snli_test,True,margin,0.7,0.844021133246086,0.00683643772828469,0.8406814826339232,0.00630469937651205
compact,snli_test,True,margin,0.8,0.8136980491942324,0.008996569351396384,0.8108791057734023,0.00886538297145012
compact,snli_test,True,margin,0.9,0.7843248133906355,0.008959648188345761,0.7821580789615611,0.008706506880447279
compact,snli_test,True,margin,0.95,0.7683488696024859,0.007238549557079013,0.7664906267820859,0.00706680145228724
compact,snli_test,True,max_softmax,0.7,0.8426154815568805,0.00703761209038212,0.8394447971353051,0.006527253628978422
compact,snli_test,True,max_softmax,0.8,0.8144614079728584,0.008659191721062652,0.8118584062146237,0.008605860730542137
compact,snli_test,True,max_softmax,0.9,0.7851918872050064,0.009960421610333416,0.7833095249226139,0.009687187525101577
compact,snli_test,True,max_softmax,0.95,0.7700275009821779,0.008281775607010091,0.768406193125148,0.008149725552947325
