coverage_target,n_accepted,accuracy,macro_f1,score_name,split_name,model_name,seed,calibrated
0.95,28500,0.4977894736842105,0.4703670899351401,entropy,hans,compact,42,False
0.9,27000,0.49774074074074076,0.4677513543455036,entropy,hans,compact,42,False
0.8,24000,0.495625,0.4608527895862117,entropy,hans,compact,42,False
0.7,21000,0.4966190476190476,0.4599654701058955,entropy,hans,compact,42,False
0.95,28500,0.4976842105263158,0.47508126741781465,max_softmax,hans,compact,42,True
0.9,27000,0.4978518518518519,0.473259383036868,max_softmax,hans,compact,42,True
0.8,24000,0.4967916666666667,0.46822055191910306,max_softmax,hans,compact,42,True
0.7,21000,0.4959047619047619,0.465120128082058,max_softmax,hans,compact,42,True
0.95,28500,0.4976842105263158,0.47508126741781465,margin,hans,compact,42,True
0.9,27000,0.4978518518518519,0.473259383036868,margin,hans,compact,42,True
0.8,24000,0.4967916666666667,0.46822055191910306,margin,hans,compact,42,True
0.7,21000,0.4959047619047619,0.465120128082058,margin,hans,compact,42,True
0.95,28500,0.4976842105263158,0.47508126741781465,entropy,hans,compact,42,True
0.9,27000,0.4978518518518519,0.473259383036868,entropy,hans,compact,42,True
0.8,24000,0.4967916666666667,0.46822055191910306,entropy,hans,compact,42,True
0.7,21000,0.4959047619047619,0.465120128082058,entropy,hans,compact,42,True
0.95,9333,0.7761705775206257,0.7745413176830661,max_softmax,snli_test,compact,73,False
0.9,8842,0.7925808640579054,0.7905520383950645,max_softmax,snli_test,compact,73,False
0.8,7860,0.8227735368956743,0.8201811478158709,max_softmax,snli_test,compact,73,False
0.7,6877,0.8492075032717755,0.8456707091945539,max_softmax,snli_test,compact,73,False
0.95,9333,0.7749919639987143,0.7730735179083524,margin,snli_test,compact,73,False
0.9,8842,0.792241574304456,0.7899615881235356,margin,snli_test,compact,73,False
0.8,7860,0.8223918575063613,0.8195826932157221,margin,snli_test,compact,73,False
0.7,6877,0.8496437400029082,0.8459212826530592,margin,snli_test,compact,73,False
0.95,9333,0.7750991106825244,0.7736651291157619,entropy,snli_test,compact,73,False
0.9,8842,0.7906582221216919,0.7889099242617635,entropy,snli_test,compact,73,False
0.8,7860,0.8180661577608143,0.8161382703081577,entropy,snli_test,compact,73,False
0.7,6877,0.8480442053220881,0.8449297519828566,entropy,snli_test,compact,73,False
0.95,9333,0.7762777242044359,0.7746821494610314,max_softmax,snli_test,compact,73,True
0.9,8842,0.7928070572268717,0.790797893117888,max_softmax,snli_test,compact,73,True
0.8,7860,0.8229007633587786,0.8203971789461585,max_softmax,snli_test,compact,73,True
0.7,6877,0.8484804420532209,0.845000646176907,max_softmax,snli_test,compact,73,True
0.95,9333,0.7749919639987143,0.7730707011661039,margin,snli_test,compact,73,True
0.9,8842,0.792241574304456,0.7899615881235356,margin,snli_test,compact,73,True
0.8,7860,0.822264631043257,0.8194658759652326,margin,snli_test,compact,73,True
0.7,6877,0.8496437400029082,0.8459016898854007,margin,snli_test,compact,73,True
0.95,9333,0.7749919639987143,0.7735465631398236,entropy,snli_test,compact,73,True
0.9,8842,0.789979642614793,0.7883133769075191,entropy,snli_test,compact,73,True
0.8,7860,0.8159033078880407,0.8140501156146568,entropy,snli_test,compact,73,True
0.7,6877,0.8444088992293151,0.8416306049328063,entropy,snli_test,compact,73,True
0.95,9325,0.4455764075067024,0.4434035398685206,max_softmax,mnli_matched,compact,73,False
0.9,8834,0.4500792393026941,0.4476877197975741,max_softmax,mnli_matched,compact,73,False
0.8,7852,0.4579724910850739,0.4551719654967343,max_softmax,mnli_matched,compact,73,False
0.7,6871,0.4690729151506331,0.4662328438105417,max_softmax,mnli_matched,compact,73,False
0.95,9325,0.4482573726541555,0.4462025937903597,margin,mnli_matched,compact,73,False
0.9,8834,0.4501924383065429,0.4479094103969792,margin,mnli_matched,compact,73,False
0.8,7852,0.4597554763117677,0.45718172430105136,margin,mnli_matched,compact,73,False
0.7,6871,0.46892737592781253,0.466219740800665,margin,mnli_matched,compact,73,False
0.95,9325,0.44536193029490617,0.44321465638649854,entropy,mnli_matched,compact,73,False
0.9,8834,0.4489472492642065,0.446472234601263,entropy,mnli_matched,compact,73,False
0.8,7852,0.4602649006622517,0.45748410796631056,entropy,mnli_matched,compact,73,False
